JOURNAL OF CETACEAN RESEARCH AND MANAGEMENT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JOURNAL OF FISH BIOLOGY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JOURNAL OF FISHERIES AND AQUATIC SCIENCES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
JOURNAL OF GREAT LAKES RESEARCH,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
JOURNAL OF SEA RESEARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JOURNAL OF WILDLIFE MANAGEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LIMNOLOGY AND OCEANOGRAPHY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MARINE AND FRESHWATER RESEARCH,0,0,0,0,0,0,2,2,1,0,0,0,1,0,1,0,0,0,0
MARINE BIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MARINE ECOLOGY PROGRESS SERIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MARINE MAMMAL SCIENCE,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
MCHIGAN DEPARTMENT OF NATURAL RESOURCES FISHERIES DIVISION, FISHERIES RESEARCH REPORT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
METHODS IN ECOLOGY AND EVOLUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NATURAL RESOURCE MODELING,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NATURE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW ZEALAND FISHERIES ASSESSMENT REPORT,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0
OPTIMIZATION METHODS AND SOFTWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PALEOBIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PHYSICAL REVIEW E,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PLOS ONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
PNAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
POPULATION ECOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PROCEEDINGS OF A WORKSHOP ON THE DYNAMICS OF LAKE WHITEFISH (COREGONUS CLUPEAFORMIS) AND THE AMPHIPOD DIPOREIA SPP. IN THE GREAT LAKES. GREAT LAKES FISH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PROCEEDINGS OF THE ROYAL SOCIETY B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PROGRESS IN OCEANOGRAPHY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
REVISTA DE BIOLOGÍA MARINA Y OCEANOGRAFÍA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SPATIAL PROCESSES AND MANAGEMENT OF FISH POPULATIONS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
THE ALEUTIAN ECOSYSTEM: PROCESSES CONTROLLING VARIABILITY IN PRODUCTIVITY AND ECOSYSTEM STRUCTURE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
THEORETICAL POPULATION BIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
